Name,Year,Rating,Rate numbers
肖申克的救赎,1994,9.7,2559546
霸王别姬,1993,9.6,1901298
阿甘正传,1994,9.5,1922608
泰坦尼克号,1997,9.4,1884340
这个杀手不太冷,1994,9.4,2080245
美丽人生,1997,9.6,1179461
千与千寻,2001,9.4,2003411
辛德勒的名单,1993,9.5,984162
盗梦空间,2010,9.4,1845845
忠犬八公的故事,2009,9.4,1264772
星际穿越,2014,9.4,1528512
楚门的世界,1998,9.3,1450423
海上钢琴师,1998,9.3,1499182
三傻大闹宝莱坞,2009,9.2,1677981
机器人总动员,2008,9.3,1182410
放牛班的春天,2004,9.3,1167035
无间道,2002,9.3,1173609
疯狂动物城,2016,9.2,1680760
大话西游之大圣娶亲,1995,9.2,1370542
熔炉,2011,9.3,833600
教父,1972,9.3,841915
当幸福来敲门,2006,9.2,1357861
控方证人,1957,9.6,434585
怦然心动,2010,9.1,1624719
龙猫,1988,9.2,1130985
